date,time,T1_degC,T2_degC,T3_degC,T4_degC
2025-02-23,17:38:07,28.6,80.5,30.1,28.9
2025-02-23,17:43:07,28.1,64.8,29.9,28.4
2025-02-23,17:48:07,47.3,43.9,31.2,28.4
2025-02-23,17:53:07,43.5,44.9,31.2,27.3
2025-02-23,17:58:07,47.1,45.6,32.9,27.6
2025-02-23,18:03:07,44.3,45.1,35.6,27.0
2025-02-23,18:08:07,41.5,45.1,34.7,27.0
2025-02-23,18:13:07,39.2,45.1,33.8,28.3
2025-02-23,18:18:07,42.9,45.3,32.6,27.1
2025-02-23,18:23:07,40.9,45.2,31.6,26.7
2025-02-23,18:28:07,41.2,45.2,31.4,25.3
2025-02-23,18:33:07,41.0,45.3,31.2,25.6
2025-02-23,18:38:07,41.2,45.3,30.9,25.2
2025-02-23,18:43:07,37.9,45.3,30.1,24.6
2025-02-23,18:48:07,41.1,45.3,29.8,24.1
2025-02-23,18:53:07,41.3,45.2,30.7,23.6
2025-02-23,18:58:07,41.1,45.1,31.1,23.2
2025-02-23,19:03:07,40.7,44.9,30.8,22.8
2025-02-23,19:08:07,40.4,44.8,30.3,22.6
2025-02-23,19:13:07,40.1,44.7,29.9,22.2
2025-02-23,19:18:07,40.1,44.6,29.7,21.9
2025-02-23,19:23:07,39.9,44.3,29.4,21.8
2025-02-23,19:28:07,39.7,44.2,29.2,21.6
2025-02-23,19:33:07,39.4,44.1,28.9,21.3
2025-02-23,19:38:07,39.4,44.0,28.8,21.2
2025-02-23,19:43:07,39.4,43.9,28.7,21.2
2025-02-23,19:48:07,39.1,43.8,28.4,21.1
2025-02-23,19:53:07,39.1,43.7,28.4,21.1
2025-02-23,19:58:07,39.4,43.6,28.4,21.2
2025-02-23,20:03:07,39.2,43.4,28.4,21.2
2025-02-23,20:08:07,39.2,43.3,28.4,21.2
2025-02-23,20:13:07,39.2,43.2,28.4,21.3
2025-02-23,20:18:07,39.0,43.2,28.4,21.3
2025-02-23,20:23:07,38.7,43.1,28.6,21.4
2025-02-23,20:28:07,38.8,42.9,28.5,21.6
2025-02-23,20:33:07,38.6,42.8,28.3,21.6
2025-02-23,20:38:07,38.3,42.7,28.2,21.6
2025-02-23,20:43:07,38.1,42.6,28.1,21.6
2025-02-23,20:48:07,38.0,42.5,27.9,21.6
2025-02-23,20:53:07,37.8,42.3,27.8,21.4
2025-02-23,20:58:07,37.8,42.3,27.7,21.3
2025-02-23,21:03:07,37.8,42.2,27.4,21.2
2025-02-23,21:08:07,37.8,42.1,27.4,21.2
2025-02-23,21:13:07,37.4,42.0,27.3,21.1
2025-02-23,21:18:07,37.2,41.9,27.3,20.9
2025-02-23,21:23:07,37.1,41.7,27.1,20.7
2025-02-23,21:28:07,37.2,41.7,26.8,20.4
2025-02-23,21:33:07,37.0,41.6,26.7,20.3
2025-02-23,21:38:07,36.8,41.4,26.6,20.2
2025-02-23,21:43:07,36.9,41.3,26.6,20.0
2025-02-23,21:48:07,36.9,41.2,26.5,20.0
2025-02-23,21:53:07,37.2,41.1,26.5,20.0
2025-02-23,21:58:07,37.4,40.9,26.5,20.0
2025-02-23,22:03:07,36.9,40.8,26.5,19.8
2025-02-23,22:08:07,36.8,40.7,26.6,19.7
2025-02-23,22:13:07,37.3,40.7,26.6,19.7
2025-02-23,22:18:07,36.9,40.5,26.6,19.7
2025-02-23,22:23:07,37.1,40.5,26.6,19.7
2025-02-23,22:28:07,36.9,40.4,26.7,19.6
2025-02-23,22:33:07,37.1,40.3,26.7,19.5
2025-02-23,22:38:07,37.2,40.1,26.7,19.3
2025-02-23,22:43:07,36.9,40.1,26.7,19.3
2025-02-23,22:48:07,36.8,40.0,26.7,19.3
2025-02-23,22:53:07,36.7,39.9,26.6,19.3
2025-02-23,22:58:07,36.7,39.8,26.4,18.9
2025-02-23,23:03:07,36.6,39.7,26.3,19.0
2025-02-23,23:08:07,36.6,39.6,26.3,18.8
2025-02-23,23:13:07,36.6,39.4,26.3,18.9
2025-02-23,23:18:07,36.3,39.4,26.3,18.7
2025-02-23,23:23:07,35.8,39.3,26.2,18.4
2025-02-23,23:28:07,36.3,39.2,26.1,18.3
2025-02-23,23:33:07,35.9,39.1,25.9,18.4
2025-02-23,23:38:07,36.0,38.9,25.9,18.3
2025-02-23,23:43:07,35.7,38.8,25.9,18.1
2025-02-23,23:48:07,35.8,38.7,25.7,17.9
2025-02-23,23:53:07,35.4,38.7,25.6,17.8
2025-02-23,23:58:07,35.4,38.6,25.5,17.7
2025-02-24,00:03:07,35.4,38.5,25.4,17.6
2025-02-24,00:08:07,35.2,38.4,25.3,17.4
2025-02-24,00:13:07,35.2,38.3,25.2,17.5
2025-02-24,00:18:07,35.2,38.1,25.1,17.3
2025-02-24,00:23:07,34.9,38.0,25.1,17.3
2025-02-24,00:28:07,34.7,37.9,24.9,17.1
2025-02-24,00:33:07,34.5,37.8,24.8,16.9
2025-02-24,00:38:07,34.5,37.7,24.7,16.7
2025-02-24,00:43:07,34.1,37.6,24.4,16.7
2025-02-24,00:48:07,34.0,37.6,24.3,16.7
2025-02-24,00:53:07,34.4,37.4,24.1,16.7
2025-02-24,00:58:07,34.2,37.3,24.1,16.6
2025-02-24,01:03:07,34.0,37.2,24.1,16.4
2025-02-24,01:08:07,33.8,37.1,23.9,16.2
2025-02-24,01:13:07,33.9,37.1,23.8,16.2
2025-02-24,01:18:07,33.9,36.9,23.7,16.6
2025-02-24,01:23:07,33.5,36.8,23.7,16.3
2025-02-24,01:28:07,33.6,36.7,23.6,16.2
2025-02-24,01:33:07,33.4,36.6,23.5,16.2
2025-02-24,01:38:07,33.3,36.5,23.5,16.2
2025-02-24,01:43:07,33.4,36.4,23.3,16.1
2025-02-24,01:48:07,32.9,36.3,23.2,15.9
2025-02-24,01:53:07,32.9,36.3,23.2,15.6
2025-02-24,01:58:07,32.6,36.2,23.0,15.6
2025-02-24,02:03:07,32.9,36.1,22.9,15.8
2025-02-24,02:08:07,32.5,35.9,22.9,15.5
2025-02-24,02:13:07,32.3,35.8,22.8,15.2
2025-02-24,02:18:07,32.6,35.7,22.7,15.2
2025-02-24,02:23:07,32.1,35.6,22.6,15.1
2025-02-24,02:28:07,32.0,35.6,22.4,15.0
2025-02-24,02:33:07,32.3,35.4,22.3,15.0
2025-02-24,02:38:07,32.2,35.3,22.2,15.1
2025-02-24,02:43:07,31.8,35.2,22.1,15.1
2025-02-24,02:48:07,32.1,35.1,21.9,15.1
2025-02-24,02:53:07,31.7,35.0,21.9,14.8
2025-02-24,02:58:07,31.8,34.9,21.8,14.6
2025-02-24,03:03:07,31.6,34.9,21.7,14.8
2025-02-24,03:08:07,31.4,34.8,21.6,14.3
2025-02-24,03:13:07,31.5,34.7,21.5,14.6
2025-02-24,03:18:07,31.3,34.5,21.4,14.6
2025-02-24,03:23:07,31.4,34.4,21.4,14.6
2025-02-24,03:28:07,31.3,34.3,21.3,14.3
2025-02-24,03:33:07,30.9,34.3,21.3,14.3
2025-02-24,03:38:07,31.2,34.2,21.1,14.0
2025-02-24,03:43:07,30.6,34.1,21.0,14.0
2025-02-24,03:48:07,30.4,33.9,20.8,13.7
2025-02-24,03:53:07,30.4,33.8,20.6,13.7
2025-02-24,03:58:07,30.5,33.7,20.4,13.9
2025-02-24,04:03:07,30.6,33.7,20.4,13.8
2025-02-24,04:08:07,30.4,33.6,20.4,13.8
2025-02-24,04:13:07,30.4,33.4,20.4,13.6
2025-02-24,04:18:07,30.4,33.3,20.4,13.5
2025-02-24,04:23:07,30.5,33.2,20.4,13.7
2025-02-24,04:28:07,30.1,33.1,20.3,13.7
2025-02-24,04:33:07,30.1,33.1,20.2,13.6
2025-02-24,04:38:07,29.8,33.0,20.2,13.7
2025-02-24,04:43:07,29.6,32.9,20.1,13.5
2025-02-24,04:48:07,29.9,32.8,20.1,13.3
2025-02-24,04:53:07,30.1,32.8,19.9,13.3
