date,time,T1_degC,T2_degC,T3_degC,T4_degC
2025-02-22,15:11:40,55.8,48.9,32.2,34.1
2025-02-22,15:16:40,53.7,49.8,34.5,35.1
2025-02-22,15:21:40,49.8,51.2,35.9,36.7
2025-02-22,15:26:40,57.7,51.8,38.4,36.8
2025-02-22,15:31:40,54.3,52.9,39.2,37.7
2025-02-22,15:36:40,50.6,54.0,39.8,38.3
2025-02-22,15:41:40,48.2,54.9,40.1,39.1
2025-02-22,15:46:40,46.4,55.9,40.6,38.9
2025-02-22,15:51:40,44.5,56.7,40.9,39.0
2025-02-22,15:56:40,42.8,57.4,41.3,40.3
2025-02-22,16:01:40,41.0,58.2,41.6,40.6
2025-02-22,16:06:40,38.9,58.9,41.7,40.7
2025-02-22,16:11:40,37.4,59.7,42.1,39.7
2025-02-22,16:16:40,36.1,60.4,42.1,39.3
2025-02-22,16:21:40,35.6,61.2,41.9,39.2
2025-02-22,16:26:40,35.8,61.8,41.9,38.9
2025-02-22,16:31:40,36.1,62.6,41.3,38.0
2025-02-22,16:36:40,36.7,63.1,40.4,37.7
2025-02-22,16:41:40,37.2,63.6,39.3,37.2
2025-02-22,16:46:40,37.4,63.8,38.3,36.2
2025-02-22,16:51:40,37.2,64.1,37.4,35.1
2025-02-22,16:56:40,36.4,64.2,36.6,33.7
2025-02-22,17:01:40,36.1,64.3,35.9,32.7
2025-02-22,17:06:40,35.1,64.4,35.3,31.8
2025-02-22,17:11:40,34.9,64.6,34.8,31.3
2025-02-22,17:16:40,34.2,64.7,34.3,30.7
2025-02-22,17:21:40,33.2,64.7,34.1,30.6
2025-02-22,17:26:40,32.1,64.8,33.9,30.0
2025-02-22,17:31:40,31.2,64.8,33.7,29.4
2025-02-22,17:36:40,31.3,64.8,33.5,29.2
2025-02-22,17:41:40,30.7,64.9,33.4,29.1
2025-02-22,17:46:40,30.4,64.9,33.0,28.6
2025-02-22,17:51:40,30.3,64.9,32.7,28.1
2025-02-22,17:56:40,29.6,64.9,32.2,27.6
2025-02-22,18:01:40,29.1,64.9,31.7,27.1
2025-02-22,18:06:40,28.7,64.9,31.3,26.7
2025-02-22,18:11:40,28.5,64.8,30.7,26.4
2025-02-22,18:16:40,28.4,64.8,30.3,26.1
2025-02-22,18:21:40,28.3,64.7,29.8,25.7
2025-02-22,18:26:40,28.0,64.7,29.2,25.4
