Measurement_ID,Date,Time,Value,Unit
1,2025-01-31,23:14:21,0,LUX     
2,2025-01-31,23:14:31,49,LUX     
3,2025-01-31,23:14:41,30,LUX     
4,2025-01-31,23:14:51,25,LUX     
5,2025-01-31,23:15:01,24,LUX     
6,2025-01-31,23:15:11,24,LUX     
7,2025-01-31,23:15:21,55,LUX     
8,2025-02-01,12:19:04,99999,LUX     
9,2025-02-01,12:19:14,99999,LUX     
10,2025-02-01,12:19:24,99999,LUX     
11,2025-02-01,12:19:34,99999,LUX     
12,2025-02-01,12:19:44,99999,LUX     
13,2025-02-01,12:19:54,99999,LUX     
14,2025-02-01,12:20:04,99999,LUX     
15,2025-02-01,12:20:14,99999,LUX     
16,2025-02-01,12:20:24,99999,LUX     
17,2025-02-01,12:20:34,99999,LUX     
18,2025-02-01,12:20:44,99999,LUX     
19,2025-02-01,12:20:54,99999,LUX     
20,2025-02-01,12:21:04,99999,LUX     
21,2025-02-01,12:21:14,99999,LUX     
22,2025-02-01,12:21:24,99999,LUX     
23,2025-02-01,12:21:34,99999,LUX     
24,2025-02-01,12:21:44,99999,LUX     
25,2025-02-01,12:21:54,99999,LUX     
26,2025-02-01,12:22:04,99999,LUX     
27,2025-02-01,12:22:14,99999,LUX     
28,2025-02-01,12:22:24,99999,LUX     
29,2025-02-01,12:22:34,99999,LUX     
30,2025-02-01,12:22:44,99999,LUX     
31,2025-02-01,12:22:54,99999,LUX     
32,2025-02-01,12:23:04,99999,LUX     
33,2025-02-01,12:23:14,99999,LUX     
34,2025-02-01,12:23:24,99999,LUX     
35,2025-02-01,12:23:34,55200,LUX     
36,2025-02-01,12:23:44,99999,LUX     
37,2025-02-01,12:23:54,99999,LUX     
38,2025-02-01,12:24:04,56100,LUX     
39,2025-02-01,12:24:14,51400,LUX     
40,2025-02-01,12:24:24,39700,LUX     
41,2025-02-01,12:24:34,35100,LUX     
42,2025-02-01,12:24:44,40700,LUX     
43,2025-02-01,12:24:54,38800,LUX     
44,2025-02-01,12:25:04,58900,LUX     
45,2025-02-01,12:25:14,78200,LUX     
46,2025-02-01,12:25:24,99999,LUX     
47,2025-02-01,12:25:34,99999,LUX     
48,2025-02-01,12:25:44,99999,LUX     
49,2025-02-01,12:25:54,99999,LUX     
50,2025-02-01,12:26:04,99999,LUX     
51,2025-02-01,12:26:14,99999,LUX     
52,2025-02-01,12:26:24,99999,LUX     
53,2025-02-01,12:26:34,99999,LUX     
54,2025-02-01,12:26:44,99999,LUX     
55,2025-02-01,12:26:54,99999,LUX     
56,2025-02-01,12:27:04,99999,LUX     
57,2025-02-01,12:27:14,99999,LUX     
58,2025-02-01,12:27:24,99999,LUX     
59,2025-02-01,12:27:34,99999,LUX     
60,2025-02-01,12:27:44,99999,LUX     
61,2025-02-01,12:27:54,99999,LUX     
62,2025-02-01,12:28:04,99999,LUX     
63,2025-02-01,12:28:14,99999,LUX     
64,2025-02-01,12:28:24,99999,LUX     
65,2025-02-01,12:28:34,99999,LUX     
66,2025-02-01,12:28:44,99999,LUX     
67,2025-02-01,12:28:54,99999,LUX     
68,2025-02-01,12:29:04,99999,LUX     
69,2025-02-01,12:29:14,99999,LUX     
70,2025-02-01,12:29:24,99999,LUX     
71,2025-02-01,12:29:34,99999,LUX     
72,2025-02-01,12:29:44,99999,LUX     
73,2025-02-01,12:29:54,99999,LUX     
74,2025-02-01,12:30:04,99999,LUX     
75,2025-02-01,12:30:14,99999,LUX     
76,2025-02-01,12:30:24,99999,LUX     
77,2025-02-01,12:30:34,99999,LUX     
78,2025-02-01,12:30:44,99999,LUX     
79,2025-02-01,12:30:54,99999,LUX     
80,2025-02-01,12:31:04,99999,LUX     
81,2025-02-01,12:31:14,99999,LUX     
82,2025-02-01,12:31:24,99999,LUX     
83,2025-02-01,12:31:34,99999,LUX     
84,2025-02-01,12:31:44,99999,LUX     
85,2025-02-01,12:31:54,99999,LUX     
86,2025-02-01,12:32:04,99999,LUX     
87,2025-02-01,12:32:14,99999,LUX     
88,2025-02-01,12:32:24,99999,LUX     
89,2025-02-01,12:32:34,99999,LUX     
90,2025-02-01,12:32:44,99999,LUX     
91,2025-02-01,12:32:54,99999,LUX     
92,2025-02-01,12:33:04,99999,LUX     
93,2025-02-01,12:33:14,99999,LUX     
94,2025-02-01,12:33:24,99999,LUX     
95,2025-02-01,12:33:34,99999,LUX     
96,2025-02-01,12:33:44,99999,LUX     
97,2025-02-01,12:33:54,99999,LUX     
98,2025-02-01,12:34:04,99999,LUX     
99,2025-02-01,12:34:14,99999,LUX     
100,2025-02-01,12:34:24,58100,LUX     
101,2025-02-01,12:34:34,72800,LUX     
102,2025-02-01,12:34:44,59700,LUX     
103,2025-02-01,12:34:54,62600,LUX     
104,2025-02-01,12:35:04,34000,LUX     
105,2025-02-01,12:35:14,35400,LUX     
106,2025-02-01,12:35:24,45100,LUX     
107,2025-02-01,12:35:34,49000,LUX     
108,2025-02-01,12:35:44,34300,LUX     
109,2025-02-01,12:35:54,31700,LUX     
110,2025-02-01,12:36:04,33800,LUX     
111,2025-02-01,12:36:14,38800,LUX     
112,2025-02-01,12:36:24,51300,LUX     
113,2025-02-01,12:36:34,53200,LUX     
114,2025-02-01,12:36:44,30800,LUX     
115,2025-02-01,12:36:54,29300,LUX     
116,2025-02-01,12:37:04,33500,LUX     
117,2025-02-01,12:37:14,36700,LUX     
118,2025-02-01,12:37:24,77800,LUX     
119,2025-02-01,12:37:34,69700,LUX     
120,2025-02-01,12:37:44,74300,LUX     
121,2025-02-01,12:37:54,49800,LUX     
122,2025-02-01,12:38:04,43500,LUX     
123,2025-02-01,12:38:14,70100,LUX     
124,2025-02-01,12:38:24,99999,LUX     
125,2025-02-01,12:38:34,99999,LUX     
126,2025-02-01,12:38:44,57900,LUX     
127,2025-02-01,12:38:54,43700,LUX     
128,2025-02-01,12:39:04,46600,LUX     
129,2025-02-01,12:39:14,35800,LUX     
130,2025-02-01,12:39:24,37400,LUX     
131,2025-02-01,12:39:34,35200,LUX     
132,2025-02-01,12:39:44,27800,LUX     
133,2025-02-01,12:39:54,26600,LUX     
134,2025-02-01,12:40:04,26300,LUX     
135,2025-02-01,12:40:14,26800,LUX     
136,2025-02-01,12:40:24,27900,LUX     
137,2025-02-01,12:40:34,29100,LUX     
138,2025-02-01,12:40:44,28600,LUX     
139,2025-02-01,12:40:54,32400,LUX     
140,2025-02-01,12:41:04,35900,LUX     
141,2025-02-01,12:41:14,41400,LUX     
142,2025-02-01,12:41:24,93300,LUX     
